Jaar-Maand,Aantal faillissementen
2012-12,929
2013-01,1075
2013-02,894
2013-03,1065
2013-04,1028
2013-05,858
2013-06,994
2013-07,834
2013-08,500
2013-09,1322
2013-10,1242
2013-11,906
2013-12,1022
2014-01,1014
2014-02,931
2014-03,1045
2014-04,837
2014-05,863
2014-06,999
2014-07,605
2014-08,474
2014-09,1165
2014-10,1002
2014-11,785
2014-12,1016
2015-01,849
2015-02,845
2015-03,1134
2015-04,866
2015-05,796
2015-06,1065
2015-07,557
2015-08,338
2015-09,950
2015-10,791
2015-11,794
2015-12,777
2016-01,742
2016-02,814
2016-03,749
2016-04,771
2016-05,805
2016-06,917
2016-07,463
2016-08,404
2016-09,1088
2016-10,922
2016-11,808
2016-12,687
2017-01,806
2017-02,802
2017-03,930
2017-04,736
2017-05,965
2017-06,1017
2017-07,508
2017-08,376
2017-09,987
2017-10,1153
2017-11,881
2017-12,807
2018-01,910
2018-02,846
2018-03,951
2018-04,784
2018-05,603
2018-06,852
2018-07,689
2018-08,477
2018-09,897
2018-10,1125
2018-11,890
2018-12,854
2019-01,833
2019-02,909
2019-03,948
2019-04,934
2019-05,964
2019-06,1014
2019-07,755
2019-08,459
2019-09,1082
2019-10,930
2019-11,745
2019-12,1025
2020-01,930
2020-02,865
2020-03,869
2020-04,298
2020-05,270
2020-06,670
2020-07,484
2020-08,390
2020-09,729
2020-10,614
2020-11,595
2020-12,489
2021-01,445
2021-02,499
2021-03,605
2021-04,466
2021-05,486
2021-06,615
2021-07,428
2021-08,271
2021-09,672
2021-10,664
2021-11,676
2021-12,706
2022-01,647
2022-02,736
2022-03,922
2022-04,620
2022-05,943
2022-06,1082
2022-07,528
2022-08,325
2022-09,968
2022-10,920
2022-11,774
