CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
07.10.10.00|Minerais de fer et leurs concentrés (à l’exclusion des pyrites de fer grillées)|IJzererts en concentraten daarvan (excl. geroost ijzerkies (pyrietas))|kg|-
07.29.11.00|Minerais de cuivre et leurs concentrés|Kopererts en concentraten daarvan|kg|-
07.29.12.00|Minerais de nickel et leurs concentrés|Nikkelerts en concentraten daarvan|kg|-
07.29.13.00|Minerais d’aluminium et leurs concentrés|Aluminiumerts en concentraten daarvan|kg|-
07.29.14.00|Minerais de métaux précieux et leurs concentrés|Ertsen van edele metalen en concentraten daarvan|kg|-
07.29.15.00|Minerais d’étain, de plomb et de zinc, et leurs concentrés|Lood-, zink- en tinerts en concentraten daarvan|kg|-
07.29.19.00|Autres minerais métalliques et leurs concentrés|Andere non-ferrometaalertsen en concentraten daarvan|kg|-
08.11.11.33|Marbres et travertins, bruts ou dégrossis|Marmer en travertijn, onbewerkt of enkel kantrecht behouwen|kg|T
08.11.11.36|Marbres et travertins, simplement débités en blocs ou en plaques de forme carrée ou rectangulaire|Marmer en travertijn, in blokken of platen van vierkante of rechthoekige vorm, verkregen door zagen, d0or splijten of op dergelijke wijze|kg|T
08.11.11.50|Écaussines et autres pierres calcaires ornementales ou de construction d’une masse volumique apparente >= 2,5|Ecaussine en andere kalksteen voor de steenhouwerij of voor het bouwbedrijf, met een schijnbare dichtheid >=2,5|kg|T
08.11.12.33|Granits, bruts ou dégrossis|Graniet, onbewerkt of enkel kantrecht behouwen|kg|T
08.11.12.36|Granits, simplement débités en blocs ou en plaques de forme carrée ou rectangulaire|Graniet, in blokken of platen van vierkante of rechthoekige vorm, verkregen door zagen, door splijten of op dergelijke wijze|kg|T
08.11.12.50|Grès|Zandsteen|kg|T
