Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.41,0.19,0.4
 Aalst ,41002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.19,0.23,0.58
 Aalst ,41002,ja,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.34,0.18,0.48
 Aalter ,44001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.35,0.23,0.42
 Aalter ,44084,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.49,0.22,0.29
 Aalter ,44001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.25,0.24,0.51
 Aalter ,44084,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.2,0.27,0.53
 Aalter ,44001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.29,0.26,0.45
 Aalter ,44084,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.4,0.22,0.38
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.39,0.27,0.34
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.47,0.25,0.28
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.29,0.25,0.46
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.21,0.32,0.48
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.34,0.29,0.37
 Aarschot ,24001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.37,0.29,0.34
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.38,0.29,0.33
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.42,0.26,0.32
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.18,0.19,0.62
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.21,0.27,0.51
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.4,0.21,0.39
 Aartselaar ,11001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.43,0.22,0.34
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.36,0.24,0.4
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.48,0.22,0.31
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.25,0.29,0.46
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.25,0.28,0.46
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2017,0.39,0.24,0.38
 Affligem ,23105,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Voetpaden in goede staat,2020,0.45,0.22,0.33
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2017,0.16,0.18,0.66
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Fietspaden in goede staat,2020,0.24,0.22,0.54
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2017,0.12,0.2,0.69
 Alken ,73001,nee,"Tevredenheid over staat van wegen, voet- en fietspaden",Straten en pleinen in goede staat,2020,0.09,0.19,0.72
