Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Geslacht,Aantal werkzoekenden,Totale beroepsbevolking,Procent
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Andere landen                                     ,Mannen,3138,29342,0.106946
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Andere landen                                     ,Vrouwen,2488,26537,0.0937559
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,België,Mannen,41298,1318544,0.0313209
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,België,Vrouwen,53475,1130115,0.0473182
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,EU,Mannen,5178,95138,0.0544262
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,EU,Vrouwen,6062,77789,0.0779288
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,EU13                                              ,Mannen,488,12460,0.0391653
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,EU13                                              ,Vrouwen,761,10952,0.069485
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Europa niet-EU                                    ,Mannen,1405,11059,0.127046
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Europa niet-EU                                    ,Vrouwen,1062,9541,0.111309
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Niet-EU,Mannen,13160,95229,0.138193
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Niet-EU,Vrouwen,9673,66234,0.146043
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Turkije en Maghreb                                ,Mannen,8617,54828,0.157164
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Turkije en Maghreb                                ,Vrouwen,6123,30156,0.203044
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,West- en Noord-EU15,Mannen,2840,57509,0.0493836
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,West- en Noord-EU15,Vrouwen,3479,47298,0.0735549
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Zuid-EU15,Mannen,1850,25169,0.0735031
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2009,Zuid-EU15,Vrouwen,1822,19539,0.0932494
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Andere landen                                     ,Mannen,4103,31757,0.1292
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Andere landen                                     ,Vrouwen,3187,29290,0.108808
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,België,Mannen,49734,1306273,0.0380732
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,België,Vrouwen,57746,1134408,0.0509041
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,EU,Mannen,6903,98102,0.0703655
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,EU,Vrouwen,7187,82916,0.0866781
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,EU13                                              ,Mannen,713,13934,0.0511698
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,EU13                                              ,Vrouwen,945,13651,0.0692257
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Europa niet-EU                                    ,Mannen,1912,12025,0.159002
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Europa niet-EU                                    ,Vrouwen,1411,10628,0.132763
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Niet-EU,Mannen,16811,101224,0.166077
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Niet-EU,Vrouwen,11766,72397,0.162521
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Turkije en Maghreb                                ,Mannen,10796,57442,0.187946
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Turkije en Maghreb                                ,Vrouwen,7168,32479,0.220696
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,West- en Noord-EU15,Mannen,3796,58311,0.0650992
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,West- en Noord-EU15,Vrouwen,4148,48935,0.0847655
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Zuid-EU15,Mannen,2394,25857,0.0925861
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2010,Zuid-EU15,Vrouwen,2094,20330,0.103
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Andere landen                                     ,Mannen,4242,35443,0.119685
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Andere landen                                     ,Vrouwen,3430,32242,0.106383
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,België,Mannen,45586,1299104,0.0350903
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,België,Vrouwen,54183,1136829,0.0476615
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,EU,Mannen,6578,102871,0.0639442
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,EU,Vrouwen,7140,88199,0.0809533
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,EU13                                              ,Mannen,798,16458,0.0484871
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,EU13                                              ,Vrouwen,1003,16508,0.0607584
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Europa niet-EU                                    ,Mannen,1966,13851,0.141939
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Europa niet-EU                                    ,Vrouwen,1609,12253,0.131315
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Niet-EU,Mannen,16018,109855,0.14581
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Niet-EU,Vrouwen,12149,79396,0.153018
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Turkije en Maghreb                                ,Mannen,9810,60561,0.161985
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Turkije en Maghreb                                ,Vrouwen,7110,34901,0.203719
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,West- en Noord-EU15,Mannen,3667,59706,0.0614176
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,West- en Noord-EU15,Vrouwen,4171,50483,0.0826219
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Zuid-EU15,Mannen,2113,26707,0.0791178
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2011,Zuid-EU15,Vrouwen,1966,21208,0.0927009
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Andere landen                                     ,Mannen,4531,38967,0.116278
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,Andere landen                                     ,Vrouwen,3690,35174,0.104907
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,België,Mannen,42057,1288001,0.0326529
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,België,Vrouwen,50628,1130401,0.0447876
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,EU,Mannen,6639,108487,0.0611963
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,EU,Vrouwen,7238,93222,0.0776426
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar geslacht",2012,EU13                                              ,Mannen,922,19791,0.0465868
