Gemeente,NIS-code,Centrumstad?,Indicator,Herkomst,Jaar,Procent
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2012,0.31869
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2012,0.08546
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2012,0.5357
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2012,0.06015
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2013,0.32122
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2013,0.09107
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2013,0.54685
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2013,0.04086
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2014,0.32895
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2014,0.0943
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2014,0.54587
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2014,0.03088
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2015,0.32776
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2015,0.09678
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2015,0.5406
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2015,0.03485
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2016,0.324
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2016,0.09977
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2016,0.54117
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2016,0.03506
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2017,0.31107
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2017,0.10463
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2017,0.54662
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2017,0.03767
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2018,0.28891
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2018,0.10473
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2018,0.5393
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2018,0.06706
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2019,0.28778
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",EU                                                          ,2019,0.11008
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Niet-EU,2019,0.55474
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",Onbekend,2019,0.04741
Vlaams Gewest,2000,/,"Kansarmoede-index Kind en Gezin, naar herkomst moeder",België,2020,0.28224
