Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Sector,Aantal loontrekkenden,Totaal aantal loontrekkenden,Procent
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Andere landen                                     ,Primair,724,41143,0.0175972
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Andere landen                                     ,Quartair,12314,41143,0.299298
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Andere landen                                     ,Secundair,6138,41143,0.149187
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Andere landen                                     ,Tertiair,21967,41143,0.533918
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,België,Primair,5401,1953738,0.00276444
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,België,Quartair,730194,1953738,0.373742
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,België,Secundair,453036,1953738,0.231882
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,België,Tertiair,765107,1953738,0.391612
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU,Primair,1193,126107,0.00946022
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU,Quartair,32148,126107,0.254926
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU,Secundair,30773,126107,0.244023
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU,Tertiair,61993,126107,0.49159
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU13                                              ,Primair,542,16594,0.0326624
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU13                                              ,Quartair,3918,16594,0.236109
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU13                                              ,Secundair,4469,16594,0.269314
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,EU13                                              ,Tertiair,7665,16594,0.461914
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Europa niet-EU                                    ,Primair,101,16028,0.00630147
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Europa niet-EU                                    ,Quartair,4456,16028,0.278013
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Europa niet-EU                                    ,Secundair,3450,16028,0.215248
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Europa niet-EU                                    ,Tertiair,8021,16028,0.500437
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Niet-EU,Primair,1897,117549,0.016138
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Niet-EU,Quartair,28719,117549,0.244315
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Niet-EU,Secundair,28721,117549,0.244332
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Niet-EU,Tertiair,58212,117549,0.495215
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Turkije en Maghreb                                ,Primair,1072,60378,0.0177548
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Turkije en Maghreb                                ,Quartair,11949,60378,0.197903
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Turkije en Maghreb                                ,Secundair,19133,60378,0.316887
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,Turkije en Maghreb                                ,Tertiair,28224,60378,0.467455
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,West- en Noord-EU15,Primair,312,75094,0.00415479
Vlaams Gewest,2000,/,"Loontrekkenden, naar sector, naar herkomst",2009,West- en Noord-EU15,Quartair,20762,75094,0.27648
