Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Leeftijd,Aantal werkzoekenden,Totale beroepsbevolking,Procent
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Andere landen                                     ,15-24 jaar,613,6354,0.0964747
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Andere landen                                     ,25-49 jaar,4173,43351,0.0962608
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Andere landen                                     ,50-64 jaar,840,6174,0.136054
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,België,15-24 jaar,10082,201011,0.0501565
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,België,25-49 jaar,46305,1611002,0.028743
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,België,50-64 jaar,38386,636646,0.0602941
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU,15-24 jaar,1504,19651,0.0765355
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU,25-49 jaar,6688,120856,0.0553386
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU,50-64 jaar,3048,32420,0.094016
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU13                                              ,15-24 jaar,145,2384,0.0608221
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU13                                              ,25-49 jaar,772,17868,0.0432057
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,EU13                                              ,50-64 jaar,332,3160,0.105063
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Europa niet-EU                                    ,15-24 jaar,347,2562,0.135441
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Europa niet-EU                                    ,25-49 jaar,1761,15431,0.114121
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Europa niet-EU                                    ,50-64 jaar,359,2607,0.137706
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Niet-EU,15-24 jaar,3543,23037,0.153796
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Niet-EU,25-49 jaar,16453,124199,0.132473
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Niet-EU,50-64 jaar,2837,14227,0.19941
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Turkije en Maghreb                                ,15-24 jaar,2583,14121,0.182919
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Turkije en Maghreb                                ,25-49 jaar,10519,65417,0.160799
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Turkije en Maghreb                                ,50-64 jaar,1638,5446,0.300771
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,West- en Noord-EU15,15-24 jaar,846,11707,0.0722645
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,West- en Noord-EU15,25-49 jaar,3713,71244,0.0521167
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,West- en Noord-EU15,50-64 jaar,1760,21856,0.0805271
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Zuid-EU15,15-24 jaar,513,5560,0.0922662
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Zuid-EU15,25-49 jaar,2203,31744,0.0693989
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2009,Zuid-EU15,50-64 jaar,956,7404,0.129119
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Andere landen                                     ,15-24 jaar,774,6538,0.118385
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Andere landen                                     ,25-49 jaar,5474,47519,0.115196
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,Andere landen                                     ,50-64 jaar,1042,6990,0.14907
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,België,15-24 jaar,12466,191538,0.0650837
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,België,25-49 jaar,53900,1586380,0.0339767
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,België,50-64 jaar,41114,662763,0.0620342
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU,15-24 jaar,1934,19602,0.0986634
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU,25-49 jaar,8748,126514,0.0691465
Vlaams Gewest,2000,/,"Werkloosheidsgraad, naar herkomst, naar leeftijd",2010,EU,50-64 jaar,3408,34902,0.0976448
