Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal meerderjarige nieuwkomers naar nationaliteitsgroep,Aantal meerderjarige nieuwkomers,Procent
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Derdelander,19553,40834,0.47884
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2010,EU+ (excl. Nederland),14584,40834,0.35715
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Nederland,5993,40834,0.14676
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2010,Onbepaalde nationaliteit,704,40834,0.01724
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Derdelander,18083,40861,0.44255
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2011,EU+ (excl. Nederland),16777,40861,0.41059
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Nederland,5665,40861,0.13864
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2011,Onbepaalde nationaliteit,336,40861,0.00822
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Derdelander,14106,36739,0.38395
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2012,EU+ (excl. Nederland),17018,36739,0.46321
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Nederland,5080,36739,0.13827
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2012,Onbepaalde nationaliteit,535,36739,0.01456
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Derdelander,11277,32150,0.35076
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2013,EU+ (excl. Nederland),15499,32150,0.48208
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Nederland,4946,32150,0.15384
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2013,Onbepaalde nationaliteit,428,32150,0.01331
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Derdelander,11413,33889,0.33678
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2014,EU+ (excl. Nederland),17157,33889,0.50627
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Nederland,5008,33889,0.14778
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2014,Onbepaalde nationaliteit,311,33889,0.00918
Vlaams Gewest,2000,/,"Meerderjarige nieuwkomers, naar nationaliteit",2015,Derdelander,17458,36391,0.47973
