België,Gewest,totaal,Positie in het huishouden niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,totaal,Personen in een particulier huishouden,1126639
België,Brussels Hoofdstedelijk Gewest  ,totaal,Personen niet in een particulier huishouden,10139
België,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,totaal,Personen in een particulier huishouden,6246012
België,Vlaams Gewest  ,totaal,Personen niet in een particulier huishouden,79728
België,Vlaams Gewest  ,totaal,,6325740
België,Waals Gewest,totaal,Personen in een particulier huishouden,3491653
België,Waals Gewest,totaal,Personen niet in een particulier huishouden,46467
België,Waals Gewest,totaal,,3538120
België,,totaal,Personen in een particulier huishouden,10864304
België,,totaal,Personen niet in een particulier huishouden,136334
België,,totaal,,11000638
