België,Gewest,Provincie,totaal,Centrale verwarming,Bewoonde conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Centrale verwarming,345068
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geen centrale verwarming,17634
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,124880
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,487582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Centrale verwarming,586972
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geen centrale verwarming,67904
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,77792
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,732668
België,Vlaams Gewest  ,Provincie Limburg,totaal,Centrale verwarming,298124
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geen centrale verwarming,19021
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,19673
België,Vlaams Gewest  ,Provincie Limburg,totaal,,336818
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Centrale verwarming,440785
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geen centrale verwarming,111670
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,54690
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,607145
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Centrale verwarming,376756
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geen centrale verwarming,32752
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,29843
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,439351
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Centrale verwarming,362785
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geen centrale verwarming,89259
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,45161
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,497205
België,Waals Gewest,Provincie Waals-Brabant,totaal,Centrale verwarming,126205
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geen centrale verwarming,10777
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,13576
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150558
België,Waals Gewest,Provincie Henegouwen,totaal,Centrale verwarming,357611
België,Waals Gewest,Provincie Henegouwen,totaal,Geen centrale verwarming,124065
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,76990
België,Waals Gewest,Provincie Henegouwen,totaal,,558666
België,Waals Gewest,Provincie Luik,totaal,Centrale verwarming,330399
België,Waals Gewest,Provincie Luik,totaal,Geen centrale verwarming,53799
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,66577
België,Waals Gewest,Provincie Luik,totaal,,450775
België,Waals Gewest,Provincie Luxemburg,totaal,Centrale verwarming,81772
België,Waals Gewest,Provincie Luxemburg,totaal,Geen centrale verwarming,11316
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,15676
België,Waals Gewest,Provincie Luxemburg,totaal,,108764
België,Waals Gewest,Provincie Namen,totaal,Centrale verwarming,140288
België,Waals Gewest,Provincie Namen,totaal,Geen centrale verwarming,27919
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,25912
België,Waals Gewest,Provincie Namen,totaal,,194119
België,,,totaal,Centrale verwarming,3446765
België,,,totaal,Geen centrale verwarming,566116
België,,,totaal,Niet aangegeven,550770
België,,,totaal,,4563651
