België,Gewest,Provincie,totaal,Hoogst behaalde opleidingsniveau,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geen diploma of getuigschrift,5627
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Lager onderwijs (ISCED 1),22442
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Lager secundair onderwijs (ISCED 2),44321
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Hoger secundair onderwijs (ISCED 3),71106
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),6757
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",131720
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Doctoraat (ISCED 6),4360
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),84047
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geen diploma of getuigschrift,7248
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Lager onderwijs (ISCED 1),36060
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Lager secundair onderwijs (ISCED 2),109409
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Hoger secundair onderwijs (ISCED 3),250496
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),40430
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",250002
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Doctoraat (ISCED 6),4320
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),48769
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geen diploma of getuigschrift,4549
België,Vlaams Gewest  ,Provincie Limburg,totaal,Lager onderwijs (ISCED 1),13420
België,Vlaams Gewest  ,Provincie Limburg,totaal,Lager secundair onderwijs (ISCED 2),63751
België,Vlaams Gewest  ,Provincie Limburg,totaal,Hoger secundair onderwijs (ISCED 3),124263
België,Vlaams Gewest  ,Provincie Limburg,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),22831
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",112391
België,Vlaams Gewest  ,Provincie Limburg,totaal,Doctoraat (ISCED 6),1334
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),21252
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geen diploma of getuigschrift,6813
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Lager onderwijs (ISCED 1),29677
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Lager secundair onderwijs (ISCED 2),103156
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Hoger secundair onderwijs (ISCED 3),208068
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),37206
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",225831
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Doctoraat (ISCED 6),4746
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),24103
