België,Gewest,Provincie,totaal,Geboorteplaats niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geboren in België,203329.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geboren in het buitenland,160192.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",6846.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,13.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geboren in België,651991.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geboren in het buitenland,86322.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",8416.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,5.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geboren in België,320077.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geboren in het buitenland,41786.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",1928.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geboren in België,594575.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geboren in het buitenland,40989.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",4036.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geboren in België,424623.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geboren in het buitenland,49892.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",3119.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,5.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geboren in België,479563.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geboren in het buitenland,22932.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",3173.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,1.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geboren in België,132591.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geboren in het buitenland,22573.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",696.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,1.0
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861.0
België,Waals Gewest,Provincie Henegouwen,totaal,Geboren in België,411568.0
België,Waals Gewest,Provincie Henegouwen,totaal,Geboren in het buitenland,57630.0
België,Waals Gewest,Provincie Henegouwen,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",1060.0
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,6.0
België,Waals Gewest,Provincie Henegouwen,totaal,,470264.0
België,Waals Gewest,Provincie Luik,totaal,Geboren in België,348433.0
België,Waals Gewest,Provincie Luik,totaal,Geboren in het buitenland,52694.0
België,Waals Gewest,Provincie Luik,totaal,"Overige (niet in een land, Tsjecho-Slowakije, Sovjet-Unie, Joegoslavië)",2844.0
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,11.0
België,Waals Gewest,Provincie Luik,totaal,,403982.0
België,Waals Gewest,Provincie Luxemburg,totaal,Geboren in België,96297.0
