België,Gewest,Provincie,totaal,Hoogst behaalde opleidingsniveau,Bevolking
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",147224
België,Vlaams Gewest  ,Provincie Limburg,totaal,Doctoraat (ISCED 6),1751
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),56036
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet van toepassing (personen jonger dan 15 jaar),132145
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geen diploma of getuigschrift,28479
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Lager onderwijs (ISCED 1),167796
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Lager secundair onderwijs (ISCED 2),270917
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Hoger secundair onderwijs (ISCED 3),328421
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),46517
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",289502
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Doctoraat (ISCED 6),6180
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),74859
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet van toepassing (personen jonger dan 15 jaar),236257
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geen diploma of getuigschrift,18961
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Lager onderwijs (ISCED 1),86656
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Lager secundair onderwijs (ISCED 2),188239
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Hoger secundair onderwijs (ISCED 3),240894
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),27338
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",260472
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Doctoraat (ISCED 6),8460
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),73682
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet van toepassing (personen jonger dan 15 jaar),183990
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geen diploma of getuigschrift,23122
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Lager onderwijs (ISCED 1),128234
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Lager secundair onderwijs (ISCED 2),249798
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Hoger secundair onderwijs (ISCED 3),274309
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),43752
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",215118
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Doctoraat (ISCED 6),2399
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),54173
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet van toepassing (personen jonger dan 15 jaar),177097
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geen diploma of getuigschrift,6434
België,Waals Gewest,Provincie Waals-Brabant,totaal,Lager onderwijs (ISCED 1),23725
België,Waals Gewest,Provincie Waals-Brabant,totaal,Lager secundair onderwijs (ISCED 2),67799
België,Waals Gewest,Provincie Waals-Brabant,totaal,Hoger secundair onderwijs (ISCED 3),80184
België,Waals Gewest,Provincie Waals-Brabant,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),4998
België,Waals Gewest,Provincie Waals-Brabant,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",102702
België,Waals Gewest,Provincie Waals-Brabant,totaal,Doctoraat (ISCED 6),3623
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),24772
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet van toepassing (personen jonger dan 15 jaar),69411
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Geen diploma of getuigschrift,43358
België,Waals Gewest,Provincie Henegouwen,totaal,Lager onderwijs (ISCED 1),143465
België,Waals Gewest,Provincie Henegouwen,totaal,Lager secundair onderwijs (ISCED 2),293631
België,Waals Gewest,Provincie Henegouwen,totaal,Hoger secundair onderwijs (ISCED 3),292212
België,Waals Gewest,Provincie Henegouwen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),16327
België,Waals Gewest,Provincie Henegouwen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",201453
België,Waals Gewest,Provincie Henegouwen,totaal,Doctoraat (ISCED 6),2608
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),93049
België,Waals Gewest,Provincie Henegouwen,totaal,Niet van toepassing (personen jonger dan 15 jaar),233642
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Geen diploma of getuigschrift,28684
België,Waals Gewest,Provincie Luik,totaal,Lager onderwijs (ISCED 1),105447
België,Waals Gewest,Provincie Luik,totaal,Lager secundair onderwijs (ISCED 2),233819
België,Waals Gewest,Provincie Luik,totaal,Hoger secundair onderwijs (ISCED 3),238972
België,Waals Gewest,Provincie Luik,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),14272
België,Waals Gewest,Provincie Luik,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",191852
België,Waals Gewest,Provincie Luik,totaal,Doctoraat (ISCED 6),3505
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),79676
België,Waals Gewest,Provincie Luik,totaal,Niet van toepassing (personen jonger dan 15 jaar),185909
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Geen diploma of getuigschrift,6490
België,Waals Gewest,Provincie Luxemburg,totaal,Lager onderwijs (ISCED 1),24230
België,Waals Gewest,Provincie Luxemburg,totaal,Lager secundair onderwijs (ISCED 2),55765
België,Waals Gewest,Provincie Luxemburg,totaal,Hoger secundair onderwijs (ISCED 3),60297
België,Waals Gewest,Provincie Luxemburg,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),3499
België,Waals Gewest,Provincie Luxemburg,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",49466
België,Waals Gewest,Provincie Luxemburg,totaal,Doctoraat (ISCED 6),547
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),20540
België,Waals Gewest,Provincie Luxemburg,totaal,Niet van toepassing (personen jonger dan 15 jaar),52371
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Geen diploma of getuigschrift,11183
België,Waals Gewest,Provincie Namen,totaal,Lager onderwijs (ISCED 1),41362
België,Waals Gewest,Provincie Namen,totaal,Lager secundair onderwijs (ISCED 2),101844
België,Waals Gewest,Provincie Namen,totaal,Hoger secundair onderwijs (ISCED 3),113552
België,Waals Gewest,Provincie Namen,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),6388
België,Waals Gewest,Provincie Namen,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",90573
België,Waals Gewest,Provincie Namen,totaal,Doctoraat (ISCED 6),1981
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),27062
België,Waals Gewest,Provincie Namen,totaal,Niet van toepassing (personen jonger dan 15 jaar),85441
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Geen diploma of getuigschrift,253444
België,,,totaal,Lager onderwijs (ISCED 1),1077563
België,,,totaal,Lager secundair onderwijs (ISCED 2),2101959
België,,,totaal,Hoger secundair onderwijs (ISCED 3),2425462
België,,,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),260257
België,,,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",2100554
België,,,totaal,Doctoraat (ISCED 6),44830
België,,,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),869272
België,,,totaal,Niet van toepassing (personen jonger dan 15 jaar),1867297
België,,,totaal,,11000638
