België,Gewest,Provincie,totaal,Gewone verblijfplaats op 01/01/2010 niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gewone verblijfplaats onveranderd,932454
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gewone verblijfplaats veranderd,185821
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet van toepassing (kinderen jonger dan een jaar),18503
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gewone verblijfplaats onveranderd,1574307
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gewone verblijfplaats veranderd,177513
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet van toepassing (kinderen jonger dan een jaar),21447
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gewone verblijfplaats onveranderd,770449
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gewone verblijfplaats veranderd,67343
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet van toepassing (kinderen jonger dan een jaar),9059
België,Vlaams Gewest  ,Provincie Limburg,totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gewone verblijfplaats onveranderd,1298976
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gewone verblijfplaats veranderd,133515
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet van toepassing (kinderen jonger dan een jaar),16437
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gewone verblijfplaats onveranderd,980166
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gewone verblijfplaats veranderd,96678
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet van toepassing (kinderen jonger dan een jaar),11848
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gewone verblijfplaats onveranderd,1056265
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gewone verblijfplaats veranderd,99864
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet van toepassing (kinderen jonger dan een jaar),11873
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gewone verblijfplaats onveranderd,340583
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gewone verblijfplaats veranderd,38948
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet van toepassing (kinderen jonger dan een jaar),4117
België,Waals Gewest,Provincie Waals-Brabant,totaal,,383648
België,Waals Gewest,Provincie Henegouwen,totaal,Gewone verblijfplaats onveranderd,1166417
België,Waals Gewest,Provincie Henegouwen,totaal,Gewone verblijfplaats veranderd,138119
België,Waals Gewest,Provincie Henegouwen,totaal,Niet van toepassing (kinderen jonger dan een jaar),15209
België,Waals Gewest,Provincie Henegouwen,totaal,,1319745
België,Waals Gewest,Provincie Luik,totaal,Gewone verblijfplaats onveranderd,950169
België,Waals Gewest,Provincie Luik,totaal,Gewone verblijfplaats veranderd,119235
België,Waals Gewest,Provincie Luik,totaal,Niet van toepassing (kinderen jonger dan een jaar),12732
België,Waals Gewest,Provincie Luik,totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,totaal,Gewone verblijfplaats onveranderd,239869
België,Waals Gewest,Provincie Luxemburg,totaal,Gewone verblijfplaats veranderd,29943
België,Waals Gewest,Provincie Luxemburg,totaal,Niet van toepassing (kinderen jonger dan een jaar),3393
België,Waals Gewest,Provincie Luxemburg,totaal,,273205
België,Waals Gewest,Provincie Namen,totaal,Gewone verblijfplaats onveranderd,421873
België,Waals Gewest,Provincie Namen,totaal,Gewone verblijfplaats veranderd,51919
België,Waals Gewest,Provincie Namen,totaal,Niet van toepassing (kinderen jonger dan een jaar),5594
België,Waals Gewest,Provincie Namen,totaal,,479386
België,,,totaal,Gewone verblijfplaats onveranderd,9731528
België,,,totaal,Gewone verblijfplaats veranderd,1138898
België,,,totaal,Niet van toepassing (kinderen jonger dan een jaar),130212
België,,,totaal,,11000638
