België,Gewest,Totaal,Onderwijsniveau (ISCED 2011),Jaar,Totaal.1,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2017,Totaal,Mannen,0.406,0.272,0.557
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2017,Totaal,Vrouwen,0.244,0.278,0.338
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2017,Totaal,,0.325,0.274,0.448
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2018,Totaal,Mannen,0.398,0.267,0.543
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2018,Totaal,Vrouwen,0.244,0.241,0.322
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2018,Totaal,,0.326,0.258,0.439
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2019,Totaal,Mannen,0.398,0.231,0.517
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2019,Totaal,Vrouwen,0.227,0.279,0.315
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2019,Totaal,,0.316,0.248,0.421
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2020,Totaal,Mannen,0.394,0.244,0.52
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2020,Totaal,Vrouwen,0.221,0.278,0.306
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2020,Totaal,,0.309,0.256,0.416
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2021,Totaal,Mannen,0.368,0.282,0.512
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2021,Totaal,Vrouwen,0.231,0.269,0.316
België,Brussels Hoofdstedelijk Gewest,Totaal,Laag,2021,Totaal,,0.303,0.277,0.419
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2017,Totaal,Mannen,0.58,0.179,0.706
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2017,Totaal,Vrouwen,0.455,0.184,0.557
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2017,Totaal,,0.519,0.181,0.633
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2018,Totaal,Mannen,0.558,0.185,0.685
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2018,Totaal,Vrouwen,0.47,0.142,0.548
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2018,Totaal,,0.514,0.166,0.616
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2019,Totaal,Mannen,0.598,0.145,0.699
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2019,Totaal,Vrouwen,0.492,0.122,0.561
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2019,Totaal,,0.546,0.135,0.631
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2020,Totaal,Mannen,0.586,0.121,0.667
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2020,Totaal,Vrouwen,0.448,0.172,0.541
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2020,Totaal,,0.52,0.143,0.607
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2021,Totaal,Mannen,0.576,0.149,0.677
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2021,Totaal,Vrouwen,0.411,0.168,0.494
België,Brussels Hoofdstedelijk Gewest,Totaal,Midden,2021,Totaal,,0.496,0.157,0.588
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2017,Totaal,Mannen,0.819,0.075,0.885
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2017,Totaal,Vrouwen,0.734,0.092,0.808
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2017,Totaal,,0.775,0.083,0.845
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2018,Totaal,Mannen,0.824,0.063,0.879
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2018,Totaal,Vrouwen,0.749,0.076,0.811
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2018,Totaal,,0.785,0.07,0.844
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2019,Totaal,Mannen,0.829,0.066,0.888
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2019,Totaal,Vrouwen,0.743,0.086,0.813
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2019,Totaal,,0.784,0.076,0.849
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2020,Totaal,Mannen,0.818,0.064,0.874
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2020,Totaal,Vrouwen,0.742,0.073,0.8
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2020,Totaal,,0.778,0.069,0.835
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2021,Totaal,Mannen,0.834,0.056,0.884
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2021,Totaal,Vrouwen,0.744,0.074,0.803
België,Brussels Hoofdstedelijk Gewest,Totaal,Hoog,2021,Totaal,,0.787,0.065,0.841
België,Vlaams Gewest,Totaal,Laag,2017,Totaal,Mannen,0.461,0.084,0.503
België,Vlaams Gewest,Totaal,Laag,2017,Totaal,Vrouwen,0.322,0.088,0.353
België,Vlaams Gewest,Totaal,Laag,2017,Totaal,,0.395,0.086,0.432
België,Vlaams Gewest,Totaal,Laag,2018,Totaal,Mannen,0.46,0.069,0.494
België,Vlaams Gewest,Totaal,Laag,2018,Totaal,Vrouwen,0.337,0.07,0.363
België,Vlaams Gewest,Totaal,Laag,2018,Totaal,,0.402,0.069,0.432
België,Vlaams Gewest,Totaal,Laag,2019,Totaal,Mannen,0.49,0.059,0.52
België,Vlaams Gewest,Totaal,Laag,2019,Totaal,Vrouwen,0.334,0.074,0.361
België,Vlaams Gewest,Totaal,Laag,2019,Totaal,,0.419,0.065,0.448
België,Vlaams Gewest,Totaal,Laag,2020,Totaal,Mannen,0.466,0.058,0.495
België,Vlaams Gewest,Totaal,Laag,2020,Totaal,Vrouwen,0.319,0.073,0.344
België,Vlaams Gewest,Totaal,Laag,2020,Totaal,,0.398,0.063,0.425
België,Vlaams Gewest,Totaal,Laag,2021,Totaal,Mannen,0.453,0.078,0.491
België,Vlaams Gewest,Totaal,Laag,2021,Totaal,Vrouwen,0.302,0.098,0.335
België,Vlaams Gewest,Totaal,Laag,2021,Totaal,,0.382,0.086,0.418
België,Vlaams Gewest,Totaal,Midden,2017,Totaal,Mannen,0.759,0.036,0.788
België,Vlaams Gewest,Totaal,Midden,2017,Totaal,Vrouwen,0.622,0.046,0.652
België,Vlaams Gewest,Totaal,Midden,2017,Totaal,,0.695,0.04,0.724
België,Vlaams Gewest,Totaal,Midden,2018,Totaal,Mannen,0.763,0.03,0.787
België,Vlaams Gewest,Totaal,Midden,2018,Totaal,Vrouwen,0.65,0.038,0.676
