Geaggregeerd niveau 1,Grootteklasse personeel,Jaar,Aant. actieve ondernemingen in t,Aant. werknemers in de actieve ondernemingen in t,Aant. werkzame personen in de actieve ondernemingen in t
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2008,334931.0,0.0,355645.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2009,392699.0,0.0,419622.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2010,403900.0,0.0,432270.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2011,417214.0,0.0,447791.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2012,427888.0,0.0,460716.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2013,430673.0,0.0,464721.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2014,446358.0,0.0,482022.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2015,456014.0,0.0,493643.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2016,468715.0,0.0,506629.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2017,479053.0,0.0,518306.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2018,481808.0,0.0,523296.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2019,511252.0,0.0,602226.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",0 werknemer,2020,530906.0,0.0,583818.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2008,127717.0,215522.0,277941.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2009,133099.0,222675.0,288450.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2010,133998.0,223537.0,289948.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2011,134475.0,223699.0,289755.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2012,132497.0,220788.0,284501.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2013,130597.0,217852.0,280319.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2014,129272.0,216126.0,277362.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2015,127206.0,214033.0,273297.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2016,131291.0,217066.0,279806.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2017,134064.0,221486.0,285064.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2018,131675.0,214453.0,280919.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2019,129238.0,226851.0,378042.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",1-4 werknemers,2020,128627.0,225082.0,366533.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2008,28330.0,181778.0,186188.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2009,29003.0,185614.0,189947.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2010,29083.0,186345.0,190574.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2011,29091.0,186112.0,190243.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2012,28762.0,184104.0,188088.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2013,28337.0,181807.0,185616.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2014,28225.0,180818.0,184612.0
"B-N_X_K642: Industrie en marktdiensten, exclusief de holdings",5-9 werknemers,2015,28267.0,180882.0,184563.0
