België,Gewest,Provincie,totaal,Badkamer,Bewoonde conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Bad of douche geïnstalleerd in de wooneenheid,412022
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,2905
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,72655
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,487582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Bad of douche geïnstalleerd in de wooneenheid,690101
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,4189
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,38378
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,732668
België,Vlaams Gewest  ,Provincie Limburg,totaal,Bad of douche geïnstalleerd in de wooneenheid,322797
België,Vlaams Gewest  ,Provincie Limburg,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,2059
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,11962
België,Vlaams Gewest  ,Provincie Limburg,totaal,,336818
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Bad of douche geïnstalleerd in de wooneenheid,567665
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,11178
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,28302
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,607145
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Bad of douche geïnstalleerd in de wooneenheid,414690
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,5129
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,19532
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,439351
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Bad of douche geïnstalleerd in de wooneenheid,466076
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,10422
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,20707
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,497205
België,Waals Gewest,Provincie Waals-Brabant,totaal,Bad of douche geïnstalleerd in de wooneenheid,139124
België,Waals Gewest,Provincie Waals-Brabant,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,1453
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,9981
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150558
België,Waals Gewest,Provincie Henegouwen,totaal,Bad of douche geïnstalleerd in de wooneenheid,500568
België,Waals Gewest,Provincie Henegouwen,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,14196
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,43902
België,Waals Gewest,Provincie Henegouwen,totaal,,558666
België,Waals Gewest,Provincie Luik,totaal,Bad of douche geïnstalleerd in de wooneenheid,410449
België,Waals Gewest,Provincie Luik,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,5641
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,34685
België,Waals Gewest,Provincie Luik,totaal,,450775
België,Waals Gewest,Provincie Luxemburg,totaal,Bad of douche geïnstalleerd in de wooneenheid,97674
België,Waals Gewest,Provincie Luxemburg,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,1365
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,9725
België,Waals Gewest,Provincie Luxemburg,totaal,,108764
België,Waals Gewest,Provincie Namen,totaal,Bad of douche geïnstalleerd in de wooneenheid,175981
België,Waals Gewest,Provincie Namen,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,2688
België,Waals Gewest,Provincie Namen,totaal,Niet aangegeven,15450
België,Waals Gewest,Provincie Namen,totaal,,194119
België,,,totaal,Bad of douche geïnstalleerd in de wooneenheid,4197147
België,,,totaal,Geen bad of douche geïnstalleerd in de wooneenheid,61225
België,,,totaal,Niet aangegeven,305279
België,,,totaal,,4563651
