België,Gewest,Provincie,totaal,Positie in de familiekern niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Partners,198033
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Alleenstaande ouders,27568
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Zonen/dochters,28256
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet van toepassing (niet in een familiekern),116523
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Partners,498434
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Alleenstaande ouders,42154
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Zonen/dochters,79401
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet van toepassing (niet in een familiekern),126745
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Partners,257130
België,Vlaams Gewest  ,Provincie Limburg,totaal,Alleenstaande ouders,16811
België,Vlaams Gewest  ,Provincie Limburg,totaal,Zonen/dochters,47700
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet van toepassing (niet in een familiekern),42150
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Partners,453330
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Alleenstaande ouders,32603
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Zonen/dochters,62919
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet van toepassing (niet in een familiekern),90748
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Partners,337867
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Alleenstaande ouders,26255
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Zonen/dochters,48678
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet van toepassing (niet in een familiekern),64839
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Partners,363469
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Alleenstaande ouders,23884
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Zonen/dochters,52401
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet van toepassing (niet in een familiekern),65915
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Partners,108896
België,Waals Gewest,Provincie Waals-Brabant,totaal,Alleenstaande ouders,10928
België,Waals Gewest,Provincie Waals-Brabant,totaal,Zonen/dochters,14768
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet van toepassing (niet in een familiekern),21269
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Partners,308802
België,Waals Gewest,Provincie Henegouwen,totaal,Alleenstaande ouders,36249
België,Waals Gewest,Provincie Henegouwen,totaal,Zonen/dochters,49937
België,Waals Gewest,Provincie Henegouwen,totaal,Niet van toepassing (niet in een familiekern),75276
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Partners,262323
België,Waals Gewest,Provincie Luik,totaal,Alleenstaande ouders,28485
België,Waals Gewest,Provincie Luik,totaal,Zonen/dochters,42285
België,Waals Gewest,Provincie Luik,totaal,Niet van toepassing (niet in een familiekern),70889
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Partners,76954
België,Waals Gewest,Provincie Luxemburg,totaal,Alleenstaande ouders,6267
België,Waals Gewest,Provincie Luxemburg,totaal,Zonen/dochters,10764
België,Waals Gewest,Provincie Luxemburg,totaal,Niet van toepassing (niet in een familiekern),15711
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Partners,128896
België,Waals Gewest,Provincie Namen,totaal,Alleenstaande ouders,12811
België,Waals Gewest,Provincie Namen,totaal,Zonen/dochters,19192
België,Waals Gewest,Provincie Namen,totaal,Niet van toepassing (niet in een familiekern),28456
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Partners,2994134
België,,,totaal,Alleenstaande ouders,264015
België,,,totaal,Zonen/dochters,456301
België,,,totaal,Niet van toepassing (niet in een familiekern),718521
België,,,totaal,,4432971
