België,Gewest,Provincie,totaal,Grootte particulier huishouden niveau 1,Particuliere huishoudens
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 persoon,268031
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,2 personen,124435
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,3 t/m 5 personen,136228
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,6 personen of meer,15835
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,544529
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,1 persoon,246382
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,2 personen,251525
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,3 t/m 5 personen,239458
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,6 personen of meer,17311
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,754676
België,Vlaams Gewest  ,Provincie Limburg,totaal,1 persoon,86508
België,Vlaams Gewest  ,Provincie Limburg,totaal,2 personen,117657
België,Vlaams Gewest  ,Provincie Limburg,totaal,3 t/m 5 personen,128154
België,Vlaams Gewest  ,Provincie Limburg,totaal,6 personen of meer,7095
België,Vlaams Gewest  ,Provincie Limburg,totaal,,339414
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,1 persoon,189270
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,2 personen,211131
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,3 t/m 5 personen,203938
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,6 personen of meer,10968
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,615307
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,1 persoon,130713
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,2 personen,149384
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,3 t/m 5 personen,158830
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,6 personen of meer,9215
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,448142
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,1 persoon,154228
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,2 personen,178867
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,3 t/m 5 personen,160920
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,6 personen of meer,7197
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,501212
België,Waals Gewest,Provincie Waals-Brabant,totaal,1 persoon,45615
België,Waals Gewest,Provincie Waals-Brabant,totaal,2 personen,47667
België,Waals Gewest,Provincie Waals-Brabant,totaal,3 t/m 5 personen,57090
België,Waals Gewest,Provincie Waals-Brabant,totaal,6 personen of meer,4010
België,Waals Gewest,Provincie Waals-Brabant,totaal,,154382
België,Waals Gewest,Provincie Henegouwen,totaal,1 persoon,200623
België,Waals Gewest,Provincie Henegouwen,totaal,2 personen,175649
België,Waals Gewest,Provincie Henegouwen,totaal,3 t/m 5 personen,184994
België,Waals Gewest,Provincie Henegouwen,totaal,6 personen of meer,11953
België,Waals Gewest,Provincie Henegouwen,totaal,,573219
België,Waals Gewest,Provincie Luik,totaal,1 persoon,183771
België,Waals Gewest,Provincie Luik,totaal,2 personen,141614
België,Waals Gewest,Provincie Luik,totaal,3 t/m 5 personen,146944
België,Waals Gewest,Provincie Luik,totaal,6 personen of meer,9663
België,Waals Gewest,Provincie Luik,totaal,,481992
België,Waals Gewest,Provincie Luxemburg,totaal,1 persoon,36542
België,Waals Gewest,Provincie Luxemburg,totaal,2 personen,33300
België,Waals Gewest,Provincie Luxemburg,totaal,3 t/m 5 personen,39985
België,Waals Gewest,Provincie Luxemburg,totaal,6 personen of meer,2647
België,Waals Gewest,Provincie Luxemburg,totaal,,112474
België,Waals Gewest,Provincie Namen,totaal,1 persoon,68615
België,Waals Gewest,Provincie Namen,totaal,2 personen,61450
België,Waals Gewest,Provincie Namen,totaal,3 t/m 5 personen,67683
België,Waals Gewest,Provincie Namen,totaal,6 personen of meer,4736
België,Waals Gewest,Provincie Namen,totaal,,202484
België,,,totaal,1 persoon,1610298
België,,,totaal,2 personen,1492679
België,,,totaal,3 t/m 5 personen,1524224
België,,,totaal,6 personen of meer,100630
België,,,totaal,,4727831
