België,Gewest,Provincie,totaal,Grootte van de agglomeratie niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 000 000 of meer inwoners,370253.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,500 000 - 999 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,200 000 - 499 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,100 000 - 199 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,50 000 - 99 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,20 000 - 49 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,10 000 - 19 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,5 000 - 9 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,2 000 - 4 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 000 - 1 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,500 - 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,200 - 499 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,minder dan 200 inwoners,127.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,1 000 000 of meer inwoners,589948.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,200 000 - 499 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,50 000 - 99 999 inwoners,36106.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,20 000 - 49 999 inwoners,23954.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,10 000 - 19 999 inwoners,46649.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,5 000 - 9 999 inwoners,23308.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,2 000 - 4 999 inwoners,9083.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,1 000 - 1 999 inwoners,4489.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,500 - 999 inwoners,2854.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,200 - 499 inwoners,1735.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,minder dan 200 inwoners,8608.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,1 000 000 of meer inwoners,156428.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie Limburg,totaal,200 000 - 499 999 inwoners,
België,Vlaams Gewest  ,Provincie Limburg,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie Limburg,totaal,50 000 - 99 999 inwoners,66886.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,20 000 - 49 999 inwoners,39926.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,10 000 - 19 999 inwoners,25844.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,5 000 - 9 999 inwoners,14277.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,2 000 - 4 999 inwoners,32769.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,1 000 - 1 999 inwoners,9757.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,500 - 999 inwoners,7858.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,200 - 499 inwoners,3560.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,minder dan 200 inwoners,6486.0
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,1 000 000 of meer inwoners,514825.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,200 000 - 499 999 inwoners,
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,50 000 - 99 999 inwoners,
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,20 000 - 49 999 inwoners,53621.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,10 000 - 19 999 inwoners,10755.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,5 000 - 9 999 inwoners,18775.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,2 000 - 4 999 inwoners,13533.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,1 000 - 1 999 inwoners,10368.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,500 - 999 inwoners,2325.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,200 - 499 inwoners,5003.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,minder dan 200 inwoners,10395.0
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,1 000 000 of meer inwoners,443956.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,200 000 - 499 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,50 000 - 99 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,20 000 - 49 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,10 000 - 19 999 inwoners,
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,5 000 - 9 999 inwoners,4025.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,2 000 - 4 999 inwoners,10209.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,1 000 - 1 999 inwoners,5123.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,500 - 999 inwoners,4619.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,200 - 499 inwoners,4480.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,minder dan 200 inwoners,5227.0
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,1 000 000 of meer inwoners,215870.0
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,200 000 - 499 999 inwoners,106657.0
