Gebouwtype,België,Gewest,Jaar,Semester,Kwartaal,Mediaanprijs
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2020,1ste semester 2020,2de kwartaal 2020,245000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2020,2de semester 2020,3de kwartaal 2020,250000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2020,2de semester 2020,4de kwartaal 2020,257000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2021,1ste semester 2021,1ste kwartaal 2021,260000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2021,1ste semester 2021,2de kwartaal 2021,261000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2021,2de semester 2021,3de kwartaal 2021,273000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2021,2de semester 2021,4de kwartaal 2021,265000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2022,1ste semester 2022,1ste kwartaal 2022,280000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2022,1ste semester 2022,2de kwartaal 2022,282000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Vlaams Gewest,2022,2de semester 2022,3de kwartaal 2022,295000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2020,1ste semester 2020,2de kwartaal 2020,431500
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2020,2de semester 2020,3de kwartaal 2020,436000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2020,2de semester 2020,4de kwartaal 2020,449000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2021,1ste semester 2021,1ste kwartaal 2021,430000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2021,1ste semester 2021,2de kwartaal 2021,437500
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2021,2de semester 2021,3de kwartaal 2021,485000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2021,2de semester 2021,4de kwartaal 2021,474500
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2022,1ste semester 2022,1ste kwartaal 2022,495000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2022,1ste semester 2022,2de kwartaal 2022,480000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Brussels Hoofdstedelijk Gewest,2022,2de semester 2022,3de kwartaal 2022,499000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2020,1ste semester 2020,2de kwartaal 2020,150000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2020,2de semester 2020,3de kwartaal 2020,156000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2020,2de semester 2020,4de kwartaal 2020,160000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2021,1ste semester 2021,1ste kwartaal 2021,159000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2021,1ste semester 2021,2de kwartaal 2021,160000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2021,2de semester 2021,3de kwartaal 2021,170000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2021,2de semester 2021,4de kwartaal 2021,170000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2022,1ste semester 2022,1ste kwartaal 2022,169000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2022,1ste semester 2022,2de kwartaal 2022,170000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,Waals Gewest,2022,2de semester 2022,3de kwartaal 2022,180000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2020,1ste semester 2020,2de kwartaal 2020,210000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2020,2de semester 2020,3de kwartaal 2020,220000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2020,2de semester 2020,4de kwartaal 2020,228000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2021,1ste semester 2021,1ste kwartaal 2021,225000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2021,1ste semester 2021,2de kwartaal 2021,230000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2021,2de semester 2021,3de kwartaal 2021,245000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2021,2de semester 2021,4de kwartaal 2021,230000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2022,1ste semester 2022,1ste kwartaal 2022,255000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2022,1ste semester 2022,2de kwartaal 2022,250000
Huizen met 2 of 3 gevels (gesloten + halfopen bebouwing),België,,2022,2de semester 2022,3de kwartaal 2022,260000
