België,Gewest,Provincie,totaal,Aantal kamers niveau 1,Bewoonde conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 kamer,7316
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,2 kamers,20690
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,3 kamers,69863
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,4 kamers,132196
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,5 kamers,84006
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,6 kamers,45168
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,7 kamers,26013
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,8 kamers,17901
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,9 kamers of meer,32384
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,52045
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,487582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,1 kamer,4042
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,2 kamers,11461
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,3 kamers,44285
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,4 kamers,135408
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,5 kamers,186073
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,6 kamers,150614
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,7 kamers,82579
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,8 kamers,42874
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,9 kamers of meer,47281
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,28051
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,732668
België,Vlaams Gewest  ,Provincie Limburg,totaal,1 kamer,1486
België,Vlaams Gewest  ,Provincie Limburg,totaal,2 kamers,3543
België,Vlaams Gewest  ,Provincie Limburg,totaal,3 kamers,11728
België,Vlaams Gewest  ,Provincie Limburg,totaal,4 kamers,34680
België,Vlaams Gewest  ,Provincie Limburg,totaal,5 kamers,67875
België,Vlaams Gewest  ,Provincie Limburg,totaal,6 kamers,87055
België,Vlaams Gewest  ,Provincie Limburg,totaal,7 kamers,62541
België,Vlaams Gewest  ,Provincie Limburg,totaal,8 kamers,31435
België,Vlaams Gewest  ,Provincie Limburg,totaal,9 kamers of meer,25936
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,10539
België,Vlaams Gewest  ,Provincie Limburg,totaal,,336818
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,1 kamer,3545
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,2 kamers,9552
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,3 kamers,29982
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,4 kamers,88489
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,5 kamers,156598
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,6 kamers,143610
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,7 kamers,80726
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,8 kamers,39417
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,9 kamers of meer,34563
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,20663
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,607145
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,1 kamer,3757
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,2 kamers,5636
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,3 kamers,17651
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,4 kamers,60638
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,5 kamers,100093
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,6 kamers,103724
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,7 kamers,63539
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,8 kamers,34298
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,9 kamers of meer,34487
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet aangegeven,15528
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,439351
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,1 kamer,3073
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,2 kamers,9750
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,3 kamers,27613
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,4 kamers,74754
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,5 kamers,126021
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,6 kamers,114034
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,7 kamers,64263
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,8 kamers,33091
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,9 kamers of meer,30582
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet aangegeven,14024
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,497205
België,Waals Gewest,Provincie Waals-Brabant,totaal,1 kamer,1787
België,Waals Gewest,Provincie Waals-Brabant,totaal,2 kamers,2821
België,Waals Gewest,Provincie Waals-Brabant,totaal,3 kamers,6908
België,Waals Gewest,Provincie Waals-Brabant,totaal,4 kamers,17908
België,Waals Gewest,Provincie Waals-Brabant,totaal,5 kamers,31687
België,Waals Gewest,Provincie Waals-Brabant,totaal,6 kamers,33031
België,Waals Gewest,Provincie Waals-Brabant,totaal,7 kamers,21645
België,Waals Gewest,Provincie Waals-Brabant,totaal,8 kamers,12613
België,Waals Gewest,Provincie Waals-Brabant,totaal,9 kamers of meer,12829
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet aangegeven,9329
België,Waals Gewest,Provincie Waals-Brabant,totaal,,150558
België,Waals Gewest,Provincie Henegouwen,totaal,1 kamer,6773
België,Waals Gewest,Provincie Henegouwen,totaal,2 kamers,11429
België,Waals Gewest,Provincie Henegouwen,totaal,3 kamers,26384
België,Waals Gewest,Provincie Henegouwen,totaal,4 kamers,79840
België,Waals Gewest,Provincie Henegouwen,totaal,5 kamers,142450
België,Waals Gewest,Provincie Henegouwen,totaal,6 kamers,129765
België,Waals Gewest,Provincie Henegouwen,totaal,7 kamers,67230
België,Waals Gewest,Provincie Henegouwen,totaal,8 kamers,33811
België,Waals Gewest,Provincie Henegouwen,totaal,9 kamers of meer,28885
België,Waals Gewest,Provincie Henegouwen,totaal,Niet aangegeven,32099
België,Waals Gewest,Provincie Henegouwen,totaal,,558666
België,Waals Gewest,Provincie Luik,totaal,1 kamer,2835
België,Waals Gewest,Provincie Luik,totaal,2 kamers,8932
België,Waals Gewest,Provincie Luik,totaal,3 kamers,25914
België,Waals Gewest,Provincie Luik,totaal,4 kamers,74603
België,Waals Gewest,Provincie Luik,totaal,5 kamers,101726
België,Waals Gewest,Provincie Luik,totaal,6 kamers,92246
België,Waals Gewest,Provincie Luik,totaal,7 kamers,51600
België,Waals Gewest,Provincie Luik,totaal,8 kamers,30969
België,Waals Gewest,Provincie Luik,totaal,9 kamers of meer,35267
België,Waals Gewest,Provincie Luik,totaal,Niet aangegeven,26683
België,Waals Gewest,Provincie Luik,totaal,,450775
België,Waals Gewest,Provincie Luxemburg,totaal,1 kamer,479
België,Waals Gewest,Provincie Luxemburg,totaal,2 kamers,1703
België,Waals Gewest,Provincie Luxemburg,totaal,3 kamers,4262
België,Waals Gewest,Provincie Luxemburg,totaal,4 kamers,10956
België,Waals Gewest,Provincie Luxemburg,totaal,5 kamers,17319
België,Waals Gewest,Provincie Luxemburg,totaal,6 kamers,24388
België,Waals Gewest,Provincie Luxemburg,totaal,7 kamers,18276
België,Waals Gewest,Provincie Luxemburg,totaal,8 kamers,12374
België,Waals Gewest,Provincie Luxemburg,totaal,9 kamers of meer,10372
België,Waals Gewest,Provincie Luxemburg,totaal,Niet aangegeven,8635
België,Waals Gewest,Provincie Luxemburg,totaal,,108764
België,Waals Gewest,Provincie Namen,totaal,1 kamer,1720
België,Waals Gewest,Provincie Namen,totaal,2 kamers,4155
België,Waals Gewest,Provincie Namen,totaal,3 kamers,9201
