België,Gewest,Provincie,totaal,Bewoningssituatie niveau 1,Conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Bewoonde conventionele woningen,487582
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet-bewoonde conventionele woningen,93504
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,581086
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Bewoonde conventionele woningen,732668
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet-bewoonde conventionele woningen,102724
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,835392
België,Vlaams Gewest  ,Provincie Limburg,totaal,Bewoonde conventionele woningen,336818
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet-bewoonde conventionele woningen,38537
België,Vlaams Gewest  ,Provincie Limburg,totaal,,375355
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Bewoonde conventionele woningen,607145
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet-bewoonde conventionele woningen,78970
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,686115
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Bewoonde conventionele woningen,439351
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Niet-bewoonde conventionele woningen,53629
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,492980
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Bewoonde conventionele woningen,497205
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Niet-bewoonde conventionele woningen,170342
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,667547
België,Waals Gewest,Provincie Waals-Brabant,totaal,Bewoonde conventionele woningen,150558
België,Waals Gewest,Provincie Waals-Brabant,totaal,Niet-bewoonde conventionele woningen,21150
België,Waals Gewest,Provincie Waals-Brabant,totaal,,171708
België,Waals Gewest,Provincie Henegouwen,totaal,Bewoonde conventionele woningen,558666
België,Waals Gewest,Provincie Henegouwen,totaal,Niet-bewoonde conventionele woningen,69394
België,Waals Gewest,Provincie Henegouwen,totaal,,628060
België,Waals Gewest,Provincie Luik,totaal,Bewoonde conventionele woningen,450775
België,Waals Gewest,Provincie Luik,totaal,Niet-bewoonde conventionele woningen,61515
België,Waals Gewest,Provincie Luik,totaal,,512290
België,Waals Gewest,Provincie Luxemburg,totaal,Bewoonde conventionele woningen,108764
België,Waals Gewest,Provincie Luxemburg,totaal,Niet-bewoonde conventionele woningen,25494
België,Waals Gewest,Provincie Luxemburg,totaal,,134258
België,Waals Gewest,Provincie Namen,totaal,Bewoonde conventionele woningen,194119
België,Waals Gewest,Provincie Namen,totaal,Niet-bewoonde conventionele woningen,30036
België,Waals Gewest,Provincie Namen,totaal,,224155
België,,,totaal,Bewoonde conventionele woningen,4563651
België,,,totaal,Niet-bewoonde conventionele woningen,745295
België,,,totaal,,5308946
