België,Gewest,Provincie,Totaal,Leeftijdsgroep,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,Jonger dan 15 jaar,216883
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,15 t/m 29 jaar,238951
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,30 t/m 49 jaar,353424
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,50 t/m 64 jaar,174854
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,65 t/m 84 jaar,127510
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,85 jaar of ouder,25156
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,Jonger dan 15 jaar,294151
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,15 t/m 29 jaar,323872
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,30 t/m 49 jaar,494752
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,50 t/m 64 jaar,346229
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,65 t/m 84 jaar,274549
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,85 jaar of ouder,39714
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,Totaal,Jonger dan 15 jaar,132145
België,Vlaams Gewest  ,Provincie Limburg,Totaal,15 t/m 29 jaar,153333
België,Vlaams Gewest  ,Provincie Limburg,Totaal,30 t/m 49 jaar,241949
België,Vlaams Gewest  ,Provincie Limburg,Totaal,50 t/m 64 jaar,177209
België,Vlaams Gewest  ,Provincie Limburg,Totaal,65 t/m 84 jaar,127848
België,Vlaams Gewest  ,Provincie Limburg,Totaal,85 jaar of ouder,14367
België,Vlaams Gewest  ,Provincie Limburg,Totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,Jonger dan 15 jaar,236257
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,15 t/m 29 jaar,257410
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,30 t/m 49 jaar,412365
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,50 t/m 64 jaar,281161
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,65 t/m 84 jaar,228633
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,85 jaar of ouder,33102
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,Jonger dan 15 jaar,183990
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,15 t/m 29 jaar,190747
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,30 t/m 49 jaar,305213
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,50 t/m 64 jaar,215599
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,65 t/m 84 jaar,168656
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,85 jaar of ouder,24487
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,Jonger dan 15 jaar,177097
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,15 t/m 29 jaar,203886
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,30 t/m 49 jaar,308798
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,50 t/m 64 jaar,236086
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,65 t/m 84 jaar,210867
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,85 jaar of ouder,31268
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,Totaal,Jonger dan 15 jaar,69411
België,Waals Gewest,Provincie Waals-Brabant,Totaal,15 t/m 29 jaar,71378
België,Waals Gewest,Provincie Waals-Brabant,Totaal,30 t/m 49 jaar,104156
België,Waals Gewest,Provincie Waals-Brabant,Totaal,50 t/m 64 jaar,76976
België,Waals Gewest,Provincie Waals-Brabant,Totaal,65 t/m 84 jaar,53388
België,Waals Gewest,Provincie Waals-Brabant,Totaal,85 jaar of ouder,8339
België,Waals Gewest,Provincie Waals-Brabant,Totaal,,383648
België,Waals Gewest,Provincie Henegouwen,Totaal,Jonger dan 15 jaar,233642
België,Waals Gewest,Provincie Henegouwen,Totaal,15 t/m 29 jaar,242742
België,Waals Gewest,Provincie Henegouwen,Totaal,30 t/m 49 jaar,360768
België,Waals Gewest,Provincie Henegouwen,Totaal,50 t/m 64 jaar,266663
België,Waals Gewest,Provincie Henegouwen,Totaal,65 t/m 84 jaar,184632
België,Waals Gewest,Provincie Henegouwen,Totaal,85 jaar of ouder,31298
België,Waals Gewest,Provincie Henegouwen,Totaal,,1319745
België,Waals Gewest,Provincie Luik,Totaal,Jonger dan 15 jaar,185909
België,Waals Gewest,Provincie Luik,Totaal,15 t/m 29 jaar,206564
België,Waals Gewest,Provincie Luik,Totaal,30 t/m 49 jaar,294310
België,Waals Gewest,Provincie Luik,Totaal,50 t/m 64 jaar,213937
België,Waals Gewest,Provincie Luik,Totaal,65 t/m 84 jaar,157091
België,Waals Gewest,Provincie Luik,Totaal,85 jaar of ouder,24325
België,Waals Gewest,Provincie Luik,Totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,Totaal,Jonger dan 15 jaar,52371
België,Waals Gewest,Provincie Luxemburg,Totaal,15 t/m 29 jaar,53255
België,Waals Gewest,Provincie Luxemburg,Totaal,30 t/m 49 jaar,75844
België,Waals Gewest,Provincie Luxemburg,Totaal,50 t/m 64 jaar,50270
België,Waals Gewest,Provincie Luxemburg,Totaal,65 t/m 84 jaar,35812
België,Waals Gewest,Provincie Luxemburg,Totaal,85 jaar of ouder,5653
België,Waals Gewest,Provincie Luxemburg,Totaal,,273205
België,Waals Gewest,Provincie Namen,Totaal,Jonger dan 15 jaar,85441
België,Waals Gewest,Provincie Namen,Totaal,15 t/m 29 jaar,91346
België,Waals Gewest,Provincie Namen,Totaal,30 t/m 49 jaar,130623
België,Waals Gewest,Provincie Namen,Totaal,50 t/m 64 jaar,95491
België,Waals Gewest,Provincie Namen,Totaal,65 t/m 84 jaar,65969
België,Waals Gewest,Provincie Namen,Totaal,85 jaar of ouder,10516
België,Waals Gewest,Provincie Namen,Totaal,,479386
België,,,Totaal,Jonger dan 15 jaar,1867297
België,,,Totaal,15 t/m 29 jaar,2033484
België,,,Totaal,30 t/m 49 jaar,3082202
België,,,Totaal,50 t/m 64 jaar,2134475
België,,,Totaal,65 t/m 84 jaar,1634955
België,,,Totaal,85 jaar of ouder,248225
België,,,Totaal,,11000638
