Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een verhoogde tegemoetkoming,Aantal inwoners,Procent
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,832237,6410705,0.12982
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,864769,6444127,0.134195
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,888977,6477804,0.137234
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,935392,6516011,0.143553
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,947308,6552967,0.144562
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,958754,6589069,0.145507
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,958545,6629143,0.144596
Vlaams Gewest,2000,/,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,936470,6653062,0.140758
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,981,14207,0.0690505
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1022,14157,0.0721904
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1067,14262,0.0748142
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1076,14222,0.0756574
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1096,14304,0.0766219
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1048,14293,0.0733226
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1179,14427,0.0817218
Aartselaar,11001,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1172,14455,0.0810792
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,115080,510610,0.225377
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,125157,513570,0.2437
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,131885,517042,0.255076
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,138995,520504,0.267039
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,141620,523248,0.270656
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,142764,525935,0.271448
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,142918,529247,0.27004
Antwerpen,11002,Ja,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,137618,529417,0.259943
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1027,12804,0.0802093
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1097,12792,0.0857567
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1122,12844,0.087356
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1217,12908,0.0942826
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1317,13120,0.100381
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1425,13266,0.107417
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1518,13372,0.113521
Boechout,11004,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1435,13527,0.106084
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,2780,17231,0.161337
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,2884,17559,0.164246
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,3111,17737,0.175396
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,3310,17788,0.186081
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,3321,17970,0.184808
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,3428,18244,0.187897
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,3475,18555,0.187281
Boom,11005,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,3427,18799,0.182297
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1230,10451,0.117692
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1271,10465,0.121452
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1320,10540,0.125237
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1493,10581,0.141102
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1622,10685,0.151802
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1736,10854,0.159941
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1767,10949,0.161385
Borsbeek,11007,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1751,11077,0.158075
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,3159,37502,0.0842355
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,3356,37480,0.0895411
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,3554,37673,0.0943381
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,3813,37792,0.100894
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,3920,37850,0.103567
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,4065,37946,0.107126
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,4102,38223,0.107318
Brasschaat,11008,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,4029,38211,0.10544100000000001
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,2297,28174,0.0815291
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,2415,28248,0.0854928
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,2514,28534,0.0881054
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2610,28786,0.0906691
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2672,29010,0.0921062
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2743,29268,0.0937201
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2742,29454,0.0930943
Brecht,11009,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2759,29809,0.0925559
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1763,21251,0.0829608
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1904,21291,0.0894275
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1981,21578,0.0918065
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,2148,21835,0.0983742
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2192,21947,0.099877
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,2196,22063,0.0995332
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,2258,22261,0.101433
Edegem,11013,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,2169,22244,0.0975094
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1582,18256,0.0866564
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1619,18427,0.0878602
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1673,18615,0.0898738
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1872,18792,0.0996169
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,2003,19079,0.104985
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1943,19038,0.102059
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1971,19162,0.10286
Essen,11016,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1963,19196,0.102261
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1199,10866,0.110344
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1272,11040,0.115217
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,1282,11148,0.114998
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,1372,11233,0.12214
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,1449,11368,0.127463
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,1483,11559,0.128298
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,1462,11634,0.125666
Hemiksem,11018,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,1445,11722,0.123272
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,485,8216,0.0590312
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,451,8193,0.055047
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2016,464,8141,0.0569955
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2017,521,8152,0.0639107
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2018,545,8115,0.0671596
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2019,555,8125,0.0683077
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2020,547,8277,0.0660867
Hove,11021,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2021,548,8287,0.0661277
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2014,1475,18165,0.0812001
Kalmthout,11022,Nee,Personen met verhoogde tegemoetkoming in ziekteverzekering,2015,1491,18192,0.0819591
