Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal personen met een (equivalent) leefloon naar herkomst,"Aantal inwoners naar herkomst 
(KSZ-cijfers)",Procent
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Andere landen                                     ,7503,167456,0.0448058
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,België,12780,5262420,0.00242854
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,EU,3101,464250,0.00667959
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,EU13                                              ,971,55146,0.0176078
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Europa niet-EU                                    ,5041,60262,0.0836514
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Niet-EU,16760,482854,0.0347103
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Turkije en Maghreb                                ,4216,255136,0.0165245
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,West- en Noord-EU15,1658,304321,0.00544819
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2009,Zuid-EU15,472,104783,0.00450455
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Andere landen                                     ,8858,182295,0.0485916
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,België,14079,5252930,0.00268022
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,EU,3901,481047,0.00810939
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,EU13                                              ,1512,63258,0.0239021
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Europa niet-EU                                    ,6361,68242,0.0932124
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Niet-EU,20050,518867,0.0386419
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Turkije en Maghreb                                ,4831,268330,0.018004
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,West- en Noord-EU15,1844,309904,0.00595023
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2010,Zuid-EU15,545,107885,0.00505168
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,Andere landen                                     ,11030,207315,0.0532041
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,België,13134,5241280,0.00250588
Vlaams Gewest,2000,/,"Personen met (equivalent) leefloon, naar herkomst",2011,EU,4191,500266,0.00837754
