Gemeente,NIS-code,Centrumstad?,Indicator,Herkomst,Jaar,Aantal personen van 0 tot en met 59 jaar dat leeft in een gezin met zeer lage werkintensiteit naar herkomst,Aantal inwoners van 0 tot en met 59 jaar naar herkomst (KSZ-cijfers),Procent
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2009,39108,160071,0.244317
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2009,283409,3846800,0.073674
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2009,95546,404261,0.236347
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2009,11040,51163,0.215781
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2009,15632,56497,0.276687
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2009,113915,457778,0.248843
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2009,59175,241210,0.245326
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2009,68755,259499,0.264953
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2009,15751,93599,0.168282
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2010,45509,174140,0.261336
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2010,293282,3816300,0.0768498
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2010,101878,418012,0.24372
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2010,13767,58865,0.233874
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2010,21147,63996,0.330443
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2010,138730,491472,0.282274
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2010,72074,253336,0.2845
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2010,70637,263003,0.268579
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2010,17474,96144,0.181748
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2011,54982,195731,0.280906
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2011,286091,3784970,0.0755861
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2011,103582,434585,0.238347
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2011,15446,68803,0.224496
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2011,31131,80158,0.38837
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2011,157730,541868,0.291086
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2011,71617,265979,0.269258
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2011,70126,266815,0.262826
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2011,18010,98967,0.18198
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2012,58090,211830,0.274229
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2012,277670,3752630,0.0739935
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2012,102513,452053,0.226772
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2012,16061,79388,0.20231
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2012,30857,85973,0.358915
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2012,158736,575693,0.27573
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2012,69789,277890,0.251139
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2012,68762,270655,0.254058
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2012,17690,102010,0.173414
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2013,61071,226648,0.269453
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2013,275502,3716180,0.0741359
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2013,102844,468575,0.219482
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2013,16246,89411,0.1817
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2013,29467,87748,0.335814
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2013,162884,602993,0.270126
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2013,72346,288597,0.250682
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2013,68266,273471,0.249628
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2013,18332,105693,0.173446
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2014,64577,239321,0.269834
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2014,276700,3678450,0.0752218
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2014,104937,484383,0.216641
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2014,17447,98643,0.17687
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2014,28281,88283,0.320345
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2014,169431,625697,0.270788
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2014,76573,298093,0.256876
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2014,68505,276525,0.247735
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2014,18985,109215,0.173831
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2015,67235,251282,0.267568
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2015,274538,3638890,0.0754456
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU,2015,106050,501180,0.211601
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",EU13                                              ,2015,18878,109224,0.172837
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Europa niet-EU                                    ,2015,27303,89603,0.304711
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Niet-EU,2015,172826,648648,0.26644
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Turkije en Maghreb                                ,2015,78288,307763,0.254378
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",West- en Noord-EU15,2015,67594,279272,0.242036
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Zuid-EU15,2015,19578,112684,0.173743
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",Andere landen                                     ,2016,73527,269755,0.27257
Vlaams Gewest,2000,/,"Personen in gezin met zeer lage werkintensiteit, naar herkomst",België,2016,266919,3596290,0.0742207
