Gemeente,NIS-code,Centrumstad?,Indicator,Soort aangifte,Jaar,Aantal individuele fiscale aangiften met een netto belastbaar inkomen lager dan 10.000 euro en aantal gemeenschappelijke aangiften met een netto belastbaar inkomen lager dan 20.000 euro,Aantal individuele fiscale aangiften en aantal gemeenschappelijke aangiften,Procent
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,234235,1359833,0.172253
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,523209,2231548,0.23446
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,218990,1364569,0.160483
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,530227,2257319,0.234892
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,196990,1373255,0.143448
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,492864,2249328,0.219116
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,165788,1379994,0.120137
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,444439,2208656,0.201226
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,146820,1387070,0.105849
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,441318,2220614,0.198737
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,134041,1392002,0.0962937
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,433299,2250972,0.192494
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,128807,1397648,0.0921598
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,435266,2268447,0.191878
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,115697,1400978,0.082583
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,438873,2287618,0.191847
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,98702,1404174,0.0702919
Vlaams Gewest,2000,/,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,435441,2314997,0.188096
