Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Weinig (%),Neutraal (%),Veel (%)
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.48,0.36,0.15
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2008,0.49,0.39,0.11
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2011,0.55,0.36,0.09
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2014,0.38,0.48,0.14
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.42,0.43,0.15
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.57,0.31,0.12
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2008,0.32,0.48,0.21
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2011,0.34,0.5,0.16
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2014,0.21,0.53,0.26
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.18,0.51,0.31
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.23,0.49,0.28
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2008,0.31,0.44,0.25
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2011,0.36,0.43,0.21
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2014,0.28,0.5,0.22
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.35,0.46,0.19
 Aalst ,41002,ja,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.43,0.39,0.18
 Aalter ,44001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.34,0.46,0.2
 Aalter ,44084,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.5,0.36,0.14
 Aalter ,44001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.34,0.48,0.18
 Aalter ,44084,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.6,0.31,0.09
 Aalter ,44001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.12,0.41,0.47
 Aalter ,44084,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.24,0.4,0.36
 Aalter ,44001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.26,0.49,0.25
 Aalter ,44084,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.44,0.4,0.16
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.39,0.44,0.17
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.45,0.43,0.11
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.4,0.46,0.14
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.55,0.37,0.08
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.25,0.49,0.26
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.32,0.49,0.19
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.32,0.48,0.2
 Aarschot ,24001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.47,0.4,0.13
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.39,0.43,0.18
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.49,0.37,0.14
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.34,0.47,0.19
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.62,0.31,0.07
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.4,0.43
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.16,0.47,0.37
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2017,0.28,0.46,0.26
 Aartselaar ,11001,nee,Vertrouwen in overheden,Vertrouwen in Vlaamse overheid,2020,0.41,0.43,0.16
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2017,0.43,0.42,0.15
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in Europese overheid,2020,0.47,0.4,0.13
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2017,0.43,0.42,0.15
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in federale overheid,2020,0.62,0.31,0.08
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2017,0.17,0.4,0.43
 Affligem ,23105,nee,Vertrouwen in overheden,Vertrouwen in gemeente-/stadsbestuur,2020,0.16,0.48,0.36
