Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende huisartsen,2008,0.04,0.02,0.94
 Aalst ,41002,ja,Voldoende huisartsen,2011,0.06,0.09,0.85
 Aalst ,41002,ja,Voldoende huisartsen,2014,0.07,0.11,0.82
 Aalst ,41002,ja,Voldoende huisartsen,2017,0.11,0.12,0.78
 Aalst ,41002,ja,Voldoende huisartsen,2020,0.09,0.11,0.8
 Aalter ,44084,nee,Voldoende huisartsen,2020,0.05,0.06,0.9
 Aarschot ,24001,nee,Voldoende huisartsen,2020,0.06,0.07,0.87
 Aartselaar ,11001,nee,Voldoende huisartsen,2020,0.17,0.11,0.71
 Affligem ,23105,nee,Voldoende huisartsen,2020,0.03,0.08,0.89
 Alken ,73001,nee,Voldoende huisartsen,2020,0.02,0.07,0.91
 Alveringem ,38002,nee,Voldoende huisartsen,2020,0.19,0.13,0.68
 Antwerpen ,11002,ja,Voldoende huisartsen,2008,0.06,0.05,0.89
 Antwerpen ,11002,ja,Voldoende huisartsen,2011,0.07,0.09,0.84
 Antwerpen ,11002,ja,Voldoende huisartsen,2014,0.1,0.13,0.77
 Antwerpen ,11002,ja,Voldoende huisartsen,2017,0.11,0.13,0.76
 Antwerpen ,11002,ja,Voldoende huisartsen,2020,0.1,0.13,0.78
 Anzegem ,34002,nee,Voldoende huisartsen,2020,0.04,0.03,0.93
 Ardooie ,37020,nee,Voldoende huisartsen,2020,0.02,0.04,0.94
 Arendonk ,13001,nee,Voldoende huisartsen,2020,0.02,0.03,0.95
 As ,71002,nee,Voldoende huisartsen,2020,0.05,0.09,0.86
 Asse ,23002,nee,Voldoende huisartsen,2020,0.11,0.1,0.79
 Assenede ,43002,nee,Voldoende huisartsen,2020,0.09,0.12,0.79
 Avelgem ,34003,nee,Voldoende huisartsen,2020,0.07,0.05,0.87
 Baarle-Hertog ,13002,nee,Voldoende huisartsen,2020,0.18,0.11,0.71
