Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Aalst ,41002,ja,Tevredenheid over gezondheidsvoorzieningen,2011,0.02,0.05,0.93
 Aalst ,41002,ja,Tevredenheid over gezondheidsvoorzieningen,2014,0.03,0.06,0.91
 Aalst ,41002,ja,Tevredenheid over gezondheidsvoorzieningen,2017,0.03,0.08,0.89
 Aalst ,41002,ja,Tevredenheid over gezondheidsvoorzieningen,2020,0.03,0.06,0.91
 Aalter ,44001,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.02,0.04,0.95
 Aalter ,44084,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.02,0.06,0.92
 Aarschot ,24001,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.03,0.09,0.88
 Aarschot ,24001,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.02,0.07,0.91
 Aartselaar ,11001,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.07,0.09,0.84
 Aartselaar ,11001,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.06,0.11,0.82
 Affligem ,23105,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.04,0.14,0.82
 Affligem ,23105,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.02,0.06,0.91
 Alken ,73001,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.03,0.05,0.91
 Alken ,73001,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.01,0.06,0.94
 Alveringem ,38002,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.12,0.13,0.75
 Alveringem ,38002,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.15,0.18,0.68
 Antwerpen ,11002,ja,Tevredenheid over gezondheidsvoorzieningen,2011,0.03,0.06,0.91
 Antwerpen ,11002,ja,Tevredenheid over gezondheidsvoorzieningen,2014,0.04,0.08,0.88
 Antwerpen ,11002,ja,Tevredenheid over gezondheidsvoorzieningen,2017,0.03,0.09,0.88
 Antwerpen ,11002,ja,Tevredenheid over gezondheidsvoorzieningen,2020,0.05,0.08,0.87
 Anzegem ,34002,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.02,0.11,0.86
 Anzegem ,34002,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.02,0.08,0.9
 Ardooie ,37020,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.01,0.04,0.94
 Ardooie ,37020,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.03,0.06,0.91
 Arendonk ,13001,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.01,0.1,0.89
 Arendonk ,13001,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.01,0.06,0.93
 As ,71002,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.04,0.17,0.79
 As ,71002,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.04,0.08,0.88
 Asse ,23002,nee,Tevredenheid over gezondheidsvoorzieningen,2017,0.06,0.1,0.83
 Asse ,23002,nee,Tevredenheid over gezondheidsvoorzieningen,2020,0.07,0.07,0.86
