Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Slecht (%),Redelijk (%),Goed (%)
 Aalst ,41002,ja,Subjectieve gezondheid,2011,0.06,0.23,0.71
 Aalst ,41002,ja,Subjectieve gezondheid,2014,0.05,0.23,0.72
 Aalst ,41002,ja,Subjectieve gezondheid,2017,0.05,0.27,0.67
 Aalst ,41002,ja,Subjectieve gezondheid,2020,0.04,0.25,0.71
 Aalter ,44084,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Aarschot ,24001,nee,Subjectieve gezondheid,2020,0.06,0.26,0.68
 Aartselaar ,11001,nee,Subjectieve gezondheid,2020,0.04,0.19,0.77
 Affligem ,23105,nee,Subjectieve gezondheid,2020,0.03,0.24,0.72
 Alken ,73001,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Alveringem ,38002,nee,Subjectieve gezondheid,2020,0.04,0.24,0.73
 Antwerpen ,11002,ja,Subjectieve gezondheid,2011,0.06,0.22,0.72
 Antwerpen ,11002,ja,Subjectieve gezondheid,2014,0.05,0.21,0.74
 Antwerpen ,11002,ja,Subjectieve gezondheid,2017,0.06,0.23,0.71
 Antwerpen ,11002,ja,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Anzegem ,34002,nee,Subjectieve gezondheid,2020,0.04,0.19,0.77
 Ardooie ,37020,nee,Subjectieve gezondheid,2020,0.02,0.21,0.78
 Arendonk ,13001,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 As ,71002,nee,Subjectieve gezondheid,2020,0.06,0.21,0.73
 Asse ,23002,nee,Subjectieve gezondheid,2020,0.03,0.22,0.75
 Assenede ,43002,nee,Subjectieve gezondheid,2020,0.04,0.2,0.76
 Avelgem ,34003,nee,Subjectieve gezondheid,2020,0.03,0.26,0.71
 Baarle-Hertog ,13002,nee,Subjectieve gezondheid,2020,0.05,0.24,0.71
 Balen ,13003,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Beernem ,31003,nee,Subjectieve gezondheid,2020,0.02,0.17,0.8
 Beerse ,13004,nee,Subjectieve gezondheid,2020,0.03,0.26,0.71
 Beersel ,23003,nee,Subjectieve gezondheid,2020,0.05,0.25,0.71
 Begijnendijk ,24007,nee,Subjectieve gezondheid,2020,0.03,0.27,0.71
 Bekkevoort ,24008,nee,Subjectieve gezondheid,2020,0.06,0.24,0.7
 Beringen ,71004,nee,Subjectieve gezondheid,2020,0.05,0.25,0.7
 Berlaar ,12002,nee,Subjectieve gezondheid,2020,0.04,0.23,0.73
 Berlare ,42003,nee,Subjectieve gezondheid,2020,0.05,0.27,0.68
 Bertem ,24009,nee,Subjectieve gezondheid,2020,0.03,0.2,0.78
 Bever ,23009,nee,Subjectieve gezondheid,2020,0.04,0.24,0.72
 Beveren ,46003,nee,Subjectieve gezondheid,2020,0.03,0.23,0.74
 Bierbeek ,24011,nee,Subjectieve gezondheid,2020,0.04,0.17,0.79
 Bilzen ,73006,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
