Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Aalst ,41002,ja,Geluksgevoel,2020,0.82,0.18
 Aalter ,44084,nee,Geluksgevoel,2020,0.87,0.13
 Aarschot ,24001,nee,Geluksgevoel,2020,0.8,0.2
 Aartselaar ,11001,nee,Geluksgevoel,2020,0.85,0.15
 Affligem ,23105,nee,Geluksgevoel,2020,0.84,0.16
 Alken ,73001,nee,Geluksgevoel,2020,0.86,0.14
 Alveringem ,38002,nee,Geluksgevoel,2020,0.83,0.17
 Antwerpen ,11002,ja,Geluksgevoel,2020,0.77,0.23
 Anzegem ,34002,nee,Geluksgevoel,2020,0.87,0.13
 Ardooie ,37020,nee,Geluksgevoel,2020,0.84,0.16
 Arendonk ,13001,nee,Geluksgevoel,2020,0.86,0.14
 As ,71002,nee,Geluksgevoel,2020,0.86,0.14
 Asse ,23002,nee,Geluksgevoel,2020,0.84,0.16
 Assenede ,43002,nee,Geluksgevoel,2020,0.88,0.12
 Avelgem ,34003,nee,Geluksgevoel,2020,0.87,0.13
 Baarle-Hertog ,13002,nee,Geluksgevoel,2020,0.84,0.16
 Balen ,13003,nee,Geluksgevoel,2020,0.85,0.15
 Beernem ,31003,nee,Geluksgevoel,2020,0.87,0.13
 Beerse ,13004,nee,Geluksgevoel,2020,0.8,0.2
 Beersel ,23003,nee,Geluksgevoel,2020,0.82,0.18
 Begijnendijk ,24007,nee,Geluksgevoel,2020,0.88,0.12
 Bekkevoort ,24008,nee,Geluksgevoel,2020,0.84,0.16
 Beringen ,71004,nee,Geluksgevoel,2020,0.8,0.2
 Berlaar ,12002,nee,Geluksgevoel,2020,0.85,0.15
 Berlare ,42003,nee,Geluksgevoel,2020,0.82,0.18
 Bertem ,24009,nee,Geluksgevoel,2020,0.86,0.14
 Bever ,23009,nee,Geluksgevoel,2020,0.87,0.13
 Beveren ,46003,nee,Geluksgevoel,2020,0.85,0.15
 Bierbeek ,24011,nee,Geluksgevoel,2020,0.88,0.12
 Bilzen ,73006,nee,Geluksgevoel,2020,0.84,0.16
 Blankenberge ,31004,nee,Geluksgevoel,2020,0.82,0.18
 Bocholt ,72003,nee,Geluksgevoel,2020,0.85,0.15
 Boechout ,11004,nee,Geluksgevoel,2020,0.83,0.17
 Bonheiden ,12005,nee,Geluksgevoel,2020,0.85,0.15
 Boom ,11005,nee,Geluksgevoel,2020,0.76,0.24
 Boortmeerbeek ,24014,nee,Geluksgevoel,2020,0.84,0.16
 Borgloon ,73009,nee,Geluksgevoel,2020,0.79,0.21
 Bornem ,12007,nee,Geluksgevoel,2020,0.86,0.14
 Borsbeek ,11007,nee,Geluksgevoel,2020,0.83,0.17
 Boutersem ,24016,nee,Geluksgevoel,2020,0.81,0.19
 Brakel ,45059,nee,Geluksgevoel,2020,0.85,0.15
 Brasschaat ,11008,nee,Geluksgevoel,2020,0.88,0.12
 Brecht ,11009,nee,Geluksgevoel,2020,0.87,0.13
 Bredene ,35002,nee,Geluksgevoel,2020,0.86,0.14
 Bree ,72004,nee,Geluksgevoel,2020,0.87,0.13
 Brugge ,31005,ja,Geluksgevoel,2020,0.87,0.13
 Buggenhout ,42004,nee,Geluksgevoel,2020,0.84,0.16
 Damme ,31006,nee,Geluksgevoel,2020,0.9,0.1
 De Haan ,35029,nee,Geluksgevoel,2020,0.88,0.12
 De Panne ,38008,nee,Geluksgevoel,2020,0.84,0.16
 De Pinte ,44012,nee,Geluksgevoel,2020,0.88,0.12
 Deerlijk ,34009,nee,Geluksgevoel,2020,0.86,0.14
 Deinze ,44083,nee,Geluksgevoel,2020,0.87,0.13
 Denderleeuw ,41011,nee,Geluksgevoel,2020,0.83,0.17
 Dendermonde ,42006,nee,Geluksgevoel,2020,0.84,0.16
 Dentergem ,37002,nee,Geluksgevoel,2020,0.87,0.13
 Dessel ,13006,nee,Geluksgevoel,2020,0.87,0.13
 Destelbergen ,44013,nee,Geluksgevoel,2020,0.88,0.12
 Diepenbeek ,71011,nee,Geluksgevoel,2020,0.85,0.15
 Diest ,24020,nee,Geluksgevoel,2020,0.84,0.16
 Diksmuide ,32003,nee,Geluksgevoel,2020,0.9,0.1
 Dilbeek ,23016,nee,Geluksgevoel,2020,0.85,0.15
 Dilsen-Stokkem ,72041,nee,Geluksgevoel,2020,0.83,0.17
 Drogenbos ,23098,nee,Geluksgevoel,2020,0.8,0.2
 Duffel ,12009,nee,Geluksgevoel,2020,0.85,0.15
 Edegem ,11013,nee,Geluksgevoel,2020,0.86,0.14
 Eeklo ,43005,nee,Geluksgevoel,2020,0.81,0.19
