Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Aalst ,41002,ja,Voldoende zorgvoorzieningen voor ouderen,2008,0.22,0.15,0.63
 Aalst ,41002,ja,Voldoende zorgvoorzieningen voor ouderen,2011,0.23,0.17,0.6
 Aalst ,41002,ja,Voldoende zorgvoorzieningen voor ouderen,2014,0.2,0.2,0.6
 Aalst ,41002,ja,Voldoende zorgvoorzieningen voor ouderen,2017,0.16,0.14,0.7
 Aalst ,41002,ja,Voldoende zorgvoorzieningen voor ouderen,2020,0.17,0.2,0.62
 Aalter ,44084,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.08,0.11,0.82
 Aarschot ,24001,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.17,0.76
 Aartselaar ,11001,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.16,0.77
 Affligem ,23105,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.11,0.15,0.73
 Alken ,73001,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.07,0.88
 Alveringem ,38002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.11,0.14,0.74
 Antwerpen ,11002,ja,Voldoende zorgvoorzieningen voor ouderen,2008,0.13,0.17,0.7
 Antwerpen ,11002,ja,Voldoende zorgvoorzieningen voor ouderen,2011,0.14,0.18,0.68
 Antwerpen ,11002,ja,Voldoende zorgvoorzieningen voor ouderen,2014,0.12,0.17,0.7
 Antwerpen ,11002,ja,Voldoende zorgvoorzieningen voor ouderen,2017,0.12,0.17,0.71
 Antwerpen ,11002,ja,Voldoende zorgvoorzieningen voor ouderen,2020,0.11,0.19,0.69
 Anzegem ,34002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.11,0.14,0.74
 Ardooie ,37020,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.05,0.9
 Arendonk ,13001,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.04,0.09,0.87
 As ,71002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.14,0.82
 Asse ,23002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.15,0.23,0.62
 Assenede ,43002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.15,0.8
 Avelgem ,34003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.09,0.84
 Baarle-Hertog ,13002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.53,0.18,0.29
 Balen ,13003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.04,0.14,0.81
 Beernem ,31003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.12,0.82
 Beerse ,13004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.12,0.79
 Beersel ,23003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.25,0.68
 Begijnendijk ,24007,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.12,0.25,0.64
 Bekkevoort ,24008,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.17,0.32,0.51
 Beringen ,71004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.09,0.17,0.75
 Berlaar ,12002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.04,0.1,0.86
 Berlare ,42003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.06,0.12,0.82
 Bertem ,24009,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.11,0.22,0.67
 Bever ,23009,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.45,0.22,0.33
 Beveren ,46003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.08,0.13,0.78
 Bierbeek ,24011,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.19,0.71
 Bilzen ,73006,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.09,0.14,0.76
 Blankenberge ,31004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.18,0.74
 Bocholt ,72003,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.04,0.08,0.87
 Boechout ,11004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.09,0.16,0.75
 Bonheiden ,12005,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.12,0.78
 Boom ,11005,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.18,0.72
 Boortmeerbeek ,24014,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.24,0.66
 Borgloon ,73009,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.14,0.78
 Bornem ,12007,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.08,0.15,0.77
 Borsbeek ,11007,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.05,0.16,0.78
 Boutersem ,24016,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.09,0.27,0.64
 Brakel ,45059,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.06,0.15,0.79
 Brasschaat ,11008,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.11,0.82
 Brecht ,11009,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.14,0.21,0.65
 Bredene ,35002,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.03,0.15,0.82
 Bree ,72004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.06,0.13,0.81
 Brugge ,31005,ja,Voldoende zorgvoorzieningen voor ouderen,2008,0.18,0.15,0.68
 Brugge ,31005,ja,Voldoende zorgvoorzieningen voor ouderen,2011,0.14,0.19,0.66
 Brugge ,31005,ja,Voldoende zorgvoorzieningen voor ouderen,2014,0.17,0.15,0.68
 Brugge ,31005,ja,Voldoende zorgvoorzieningen voor ouderen,2017,0.16,0.16,0.69
 Brugge ,31005,ja,Voldoende zorgvoorzieningen voor ouderen,2020,0.14,0.18,0.68
 Buggenhout ,42004,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.06,0.18,0.77
 Damme ,31006,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.1,0.16,0.73
 De Haan ,35029,nee,Voldoende zorgvoorzieningen voor ouderen,2020,0.07,0.18,0.75
